thread;rep;throughput;target_string;file_size 
12;7;8.09086e+08;unevenstring;500 
12;8;8.52501e+08;unevenstring;500 
12;9;8.36185e+08;unevenstring;500 
12;10;8.11591e+08;unevenstring;500 
13;1;8.53889e+08;unevenstring;500 
13;2;8.33526e+08;unevenstring;500 
13;3;8.48362e+08;unevenstring;500 
13;4;8.55282e+08;unevenstring;500 
13;5;8.59489e+08;unevenstring;500 
13;6;8.52501e+08;unevenstring;500 
13;7;8.49737e+08;unevenstring;500 
13;8;8.05358e+08;unevenstring;500 
13;9;8.5668e+08;unevenstring;500 
13;10;8.20482e+08;unevenstring;500 
14;1;8.30884e+08;unevenstring;500 
14;2;8.15378e+08;unevenstring;500 
14;3;8.33526e+08;unevenstring;500 
14;4;8.45626e+08;unevenstring;500 
14;5;8.33526e+08;unevenstring;500 
14;6;8.37521e+08;unevenstring;500 
14;7;8.37521e+08;unevenstring;500 
14;8;8.30884e+08;unevenstring;500 
14;9;8.2957e+08;unevenstring;500 
14;10;8.32203e+08;unevenstring;500 
15;1;7.90781e+08;unevenstring;500 
15;2;8.1285e+08;unevenstring;500 
15;3;8.41554e+08;unevenstring;500 
15;4;8.09086e+08;unevenstring;500 
15;5;8.32203e+08;unevenstring;500 
15;6;8.34854e+08;unevenstring;500 
15;7;7.9922e+08;unevenstring;500 
15;8;8.23058e+08;unevenstring;500 
15;9;7.9679e+08;unevenstring;500 
15;10;7.72147e+08;unevenstring;500 
16;1;8.24352e+08;unevenstring;500 
16;2;8.24352e+08;unevenstring;500 
16;3;7.8959e+08;unevenstring;500 
16;4;7.94376e+08;unevenstring;500 
16;5;8.15378e+08;unevenstring;500 
16;6;7.72147e+08;unevenstring;500 
16;7;8.09086e+08;unevenstring;500 
16;8;8.34854e+08;unevenstring;500 
16;9;8.32203e+08;unevenstring;500 
16;10;7.86039e+08;unevenstring;500 
1;1;1.74559e+08;unevenstring;1000 
1;2;1.75142e+08;unevenstring;1000 
1;3;1.74646e+08;unevenstring;1000 
1;4;1.7485e+08;unevenstring;1000 
1;5;1.74938e+08;unevenstring;1000 
1;6;1.74153e+08;unevenstring;1000 
1;7;1.75201e+08;unevenstring;1000 
1;8;1.74414e+08;unevenstring;1000 
1;9;1.7372e+08;unevenstring;1000 
1;10;1.7485e+08;unevenstring;1000 
2;1;3.48017e+08;unevenstring;1000 
2;2;3.47671e+08;unevenstring;1000 
2;3;3.46981e+08;unevenstring;1000 
2;4;3.45381e+08;unevenstring;1000 
2;5;3.47556e+08;unevenstring;1000 
2;6;3.44473e+08;unevenstring;1000 
2;7;3.46866e+08;unevenstring;1000 
2;8;3.47671e+08;unevenstring;1000 
2;9;3.47671e+08;unevenstring;1000 
2;10;3.48133e+08;unevenstring;1000 
3;1;5.24288e+08;unevenstring;1000 
3;2;5.24026e+08;unevenstring;1000 
3;3;5.24288e+08;unevenstring;1000 
3;4;5.23764e+08;unevenstring;1000 
